Date,Aircraft type,Registration,Operator,Fatalities,Location,Damage,Manufacturer,Model,Year
2022-01-03,british aerospace 4121 jetstream 41,ZS-NRJ,sa airlink,0,Venetia,substantial,british aerospace,4121 jetstream 41,2022
2022-01-04,british aerospace 3101 jetstream 31,HR-AYY,lanhsa,0,Roatán,substantial,british aerospace,3101 jetstream 31,2022
2022-01-05,boeing 737-4h6,EP-CAP,caspian airlines,0,Isfahan,substantial,boeing,737-4h6,2022
2022-01-08,tupolev tu-204-100c,RA-64032,aviastar-tu,0,Hangzhou Xiaoshan,write-off,tupolev,tu-204-100c,2022
2022-01-12,beechcraft 200 super king air,,private,0,Machakilha,write-off,beechcraft,200 super king air,2022
2022-01-16,airbus a320-214 (wl),JA24MC,star flyer,0,Okayama,none,airbus,a320-214 (wl),2022
2022-01-19,cessna 208b grand caravan ex,YV3033,mahan air,0,Vakilabad,substantial,cessna,208b grand caravan ex,2022
2022-01-22,airbus a320-232,N760JB,jetblue airways,0,Hayden,substantial,airbus,a320-232,2022
2022-01-27,bombardier cl-600-2b16 challenger 604,2-SLOW,volare aviation,0,Heraklion,substantial,bombardier,cl-600-2b16 challenger 604,2022
2022-01-31,bombardier cl-600-2b16 challenger 604,N999PX,lima delta co trustee,0,London,substantial,bombardier,cl-600-2b16 challenger 604,2022
2022-01-31,beechcraft b300 king air 350,C-GEAS,air tindi,0,Thunder Bay,substantial,beechcraft,b300 king air 350,2022
2022-02-02,hawker 1000,N207K,skyview,0,Islip,substantial,raytheon hawker,1000,2022
2022-02-05,cessna 208b grand caravan,5H-TAZ,care aviation,0,New Fangak,substantial,cessna,208b grand caravan,2022
2022-02-07,embraer erj-190-100lr,OH-LKK,finnair,0,København,substantial,embraer,erj-190-100lr,2022
2022-02-08,antonov an-26,SP-402,south sudanese air force,0,Agok,substantial,antonov,an-26,2022
2022-02-11,cessna 501 citation i/sp,LV-JUO,aviajet sa,0,Morón,substantial,cessna,501 citation i/sp,2022
2022-02-11,antonov an-2r,RA-33599,kamchatsky krechet,2,Koryaki,write-off,antonov,an-2r,2022
2022-02-14,let l-410uvp-e3,9S-GFA,doren air congo,0,Bukavu,write-off,let,l-410uvp-e3,2022
2022-02-15,atr 42-500,JA04JC,japan air commuter,0,Osaka,none,atr,42-500,2022
2022-02-15,britten-norman bn-2a-9 islander,N821RR,air flamenco,0,Culebra,substantial,britten-norman,bn-2a-9 islander,2022
2022-02-16,swearingen sa226-at merlin iv,HK-5225,colcharter,0,San Andres,substantial,swearingen,sa226-at merlin iv,2022
2022-02-18,embraer emb-500 phenom 100e,N68NH,eclipse transport,0,Detroit,substantial,embraer,emb-500 phenom 100e,2022
2022-02-21,de havilland canada dhc-3t texas turbine otter,N413JP,bald mountain air services,0,Umiat,substantial,de havilland canada,dhc-3t texas turbine otter,2022
2022-02-21,raytheon hawker 800xp,N99AP,roper aviation,0,Aspen,substantial,raytheon hawker,800xp,2022
2022-02-23,cessna 208b grand caravan,5X-ASD,air serv limited,0,Bor,substantial,cessna,208b grand caravan,2022
2022-02-23,antonov an-2,,taraz zhana alem,0,Aralsk,write-off,antonov,an-2,2022
2022-02-24,antonov an-22a,UR-09307,antonov airlines,0,Kyiv,substantial,antonov,an-22a,2022
2022-02-24,antonov an-26-100,UR-13395,antonov airlines,0,Kyiv,write-off,antonov,an-26-100,2022
2022-02-24,antonov an-74t,UR-74010,antonov airlines,0,Kyiv,write-off,antonov,an-74t,2022
2022-02-24,cessna 208b supervan 900,N10JA,gojump oceanside,0,Oceanside,substantial,cessna,208b supervan 900,2022
2022-02-24,antonov an-26,RF-36074,russian air force,7,Ostrogozhsk,write-off,antonov,an-26,2022
2022-02-24,antonov an-26,59 BLUE,ukraine air force,5,Zhukivtsi,write-off,antonov,an-26,2022
2022-02-26,cessna 208b grand caravan,5H-MZA,ab aviation,14,Mohéli,write-off,cessna,208b grand caravan,2022
2022-02-27,antonov an-124-100,UR-82009,antonov airlines,0,Kyiv,substantial,antonov,an-124-100,2022
2022-02-27,antonov an-225,UR-82060,antonov airlines,0,Kyiv,write-off,antonov,an-225,2022
2022-02-28,cessna 208b grand caravan,N108RF,revolution flight,0,Campbellton,substantial,cessna,208b grand caravan,2022
2022-02-28,embraer erj 170-200 lr (erj-175lr),N402YX,republic airlines,0,Washington,minor,embraer,170-200 lr (erj-175lr),2022
2022-02-28,cessna 208b grand caravan ex,PK-FSW,spirit avia sentosa,0,Bilogai,substantial,cessna,208b grand caravan ex,2022
2022-03-01,shaanxi y-8q,,china naval air force,11,Sanya,write-off,shaanxi,y-8q,2022
2022-03-02,embraer emb-500 phenom 100,LV-GQN,flyzar,0,Angra dos Reis,substantial,embraer,emb-500 phenom 100,2022
2022-03-03,boeing 737-8as (wl),EI-DHH,ryanair,0,Ibiza,none,boeing,737-8as (wl),2022
2022-03-05,dornier 228-101,CG756,indian coast guard,0,Kanpur,substantial,dornier,228-101,2022
2022-03-06,beechcraft 200 super king air,N8170J,hlaf aeta,0,Gulfport,substantial,beechcraft,200 super king air,2022
2022-03-07,cessna 525b citationjet cj3,N22AU,ozark air services,0,Baltimore,substantial,cessna,525b citationjet cj3,2022
2022-03-08,cessna 208 caravan i,C-GIPR,bamaji air,0,Sioux,write-off,cessna,208 caravan i,2022
2022-03-09,honda ha-420 hondajet,N903JT,jet it,0,Pittsburgh,substantial,honda,ha-420 hondajet,2022
2022-03-12,beechcraft 1900d,HP-1948BT,bocas air,0,PanamaAlbrook,substantial,beechcraft,1900d,2022
2022-03-17,cessna 208b super cargomaster,N78SA,martinaire,0,Dallas,minor,cessna,208b super cargomaster,2022
2022-03-17,cessna 208b super cargomaster,N9469B,martinaire,0,Dallas,substantial,cessna,208b super cargomaster,2022
2022-03-21,boeing 737-89p (wl),B-1791,china eastern airlines,132,Wuzhou,write-off,boeing,737-89p (wl),2022
2022-03-26,boeing 767-346er,JA603J,japan airlines,0,Nagoya,none,boeing,767-346er,2022
2022-03-30,cessna 208 caravan i,D-FLIC,skydive costa d'argento lsf gladwings,1,Säntis,write-off,cessna,208 caravan i,2022
2022-04-01,embraer emb-110p2 bandeirante,TG-TAN,tag airlines,0,Belize,substantial,embraer,emb-110p2 bandeirante,2022
2022-04-02,learjet 75,N877W,georgia crown distributing co,0,Morristown,substantial,learjet,75,2022
2022-04-07,boeing 757-27a (pcf),HP-2010DAE,dhl aero expreso,0,San José,write-off,boeing,757-27a (pcf),2022
2022-04-08,aero modifications ami dc-3-65tp,HK-5016,aliansa colombia,0,San Felipe,substantial,aero modifications ami,dc-3-65tp,2022
2022-04-11,beechcraft a100 king air,C-GYQK,thunder airlines,0,Timmins,substantial,beechcraft,a100 king air,2022
2022-04-13,gulfstream american g-1159 gulfstream ii b,N511PK,private,0,Venezuela,write-off,gulfstream,g-1159 gulfstream ii b,2022
2022-04-13,basler bt-67 turbo 67,PNC0257,servicio aéreo de policia,0,Villavicencio,substantial,basler,bt-67 turbo 67,2022
2022-04-13,cessna 208b grand caravan,N928JP,gem air,1,Burley,write-off,cessna,208b grand caravan,2022
2022-04-14,fairchild sa227-dc metro 23,N820DC,denver air connection,0,Denver,substantial,fairchild,sa227-dc metro 23,2022
2022-04-17,embraer emb-505 phenom 300,PP-LGD,voar cooperativa,0,Maraú,substantial,embraer,emb-505 phenom 300,2022
2022-04-17,cessna 525b citationjet cj3,N225SC,gp aviation,0,Caldwell Wright,substantial,cessna,525b citationjet cj3,2022
2022-04-22,antonov an-26b-100,UR-UZB,constanta airlines,1,Mykhailivka,write-off,antonov,an-26b-100,2022
2022-04-26,boeing 737-8as (wl),EI-ENK,ryanair,0,Almería,none,boeing,737-8as (wl),2022
2022-04-30,beechcraft 99a airliner,N699CZ,freight runners express,0,Milwaukee,substantial,beechcraft,99a airliner,2022
2022-04-30,cessna 208b grand caravan,F-GXMP,centre ecole de parachutisme sportif de l'ariège,0,Pamiers,substantial,cessna,208b grand caravan,2022
2022-05-01,boeing 737-8as (wl),VT-SLH,spicejet,0,Durgapur,unknown,boeing,737-8as (wl),2022
2022-05-03,shorts 360-300,N744LG,air cargo carriers,0,San Juan,substantial,shorts,360-300,2022
2022-05-06,beechcraft 200 super king air,CC-CDY,sociedad de transporte aéreo movi air spa,0,Santiago,substantial,beechcraft,200 super king air,2022
2022-05-06,boeing 737-82r (wl),YR-BMM,blue air,0,Napoli,substantial,boeing,737-82r (wl),2022
2022-05-10,boeing 737-883 (wl),LN-RRH,sas scandinavian airlines,0,Oslo,none,boeing,737-883 (wl),2022
2022-05-11,viking air dhc-6 twin otter 400,TJ-TIM,caverton helicopters,11,Nanga Eboko,write-off,viking air,dhc-6 twin otter 400,2022
2022-05-11,cessna 208 caravan i,PT-OQR,lbk serviço aéreo especializado,2,Boituva,substantial,cessna,208 caravan i,2022
2022-05-12,airbus a319-115 (wl),B-6425,tibet airlines,0,Chongqing Jiangbei,write-off,airbus,a319-115 (wl),2022
2022-05-20,embraer emb-110p1 bandeirante,PT-SHN,sales taxi aéreo,0,Eldorado do Sul,substantial,embraer,emb-110p1 bandeirante,2022
